0 23
0 1 10
0 2 7
0 3 7
0 4 6
0 5 10
1 3 6
1 6 5
1 7 2
1 11 6
2 4 10
2 6 9
2 9 5
2 11 3
3 4 4
3 5 2
3 7 3
3 10 3
4 6 6
4 7 7
4 8 8
4 9 5
5 2 2
5 7 3
5 8 1
5 10 4
6 16 4
6 10 2
6 12 1
6 14 2
7 16 6
7 2 10
7 8 8
7 14 7
8 3 10
8 10 3
8 14 5
8 15 9
9 1 8
9 3 6
9 14 1
10 16 9
10 2 2
10 13 4
10 15 7
11 16 5
11 5 2
11 6 6
11 14 5
12 17 6
12 1 7
12 5 5
12 15 9
13 16 3
13 17 10
13 2 5
13 3 9
14 18 7
14 19 4
14 3 7
14 22 1
14 10 8
15 16 10
15 1 8
15 19 1
15 21 7
15 22 2
16 20 1
16 8 4
16 12 4
16 14 5
17 4 10
17 5 10
17 23 9
18 22 7
18 23 9
18 11 6
19 20 8
19 23 1
19 10 8
20 1 2
20 4 10
20 23 6
20 7 1
21 1 3
21 18 2
21 23 6
22 23 5
22 11 8
22 13 10
